country,country_code,year,exports_goods_services,imports_goods_services,merchandise_exports,merchandise_imports,trade_balance,trade_balance_ratio,merchandise_trade_balance
Japan,JPN,2021,912549013982.719,938755726387.128,756032000000.0,768976000000.0,-26206712404.409058,-0.014155806892804462,-12944000000.0
Japan,JPN,2022,918408424578.807,1076977967308.71,746835000000.0,897175000000.0,-158569542729.90295,-0.07946808867424698,-150340000000.0
Japan,JPN,2023,920644083095.705,981637982326.316,717261000000.0,785796000000.0,-60993899230.611084,-0.03206354112216245,-68535000000.0
New Zealand,NZL,2015,49784689412.298,47973639707.8052,34355000000.0,36554000000.0,1811049704.4927979,0.018525784153571118,-2199000000.0
New Zealand,NZL,2016,50322131532.6917,48778127773.6204,33756000000.0,36079000000.0,1544003759.0713043,0.015580219162685484,-2323000000.0
New Zealand,NZL,2017,56986304614.2734,54952779636.3293,38075000000.0,40125000000.0,2033524977.9440994,0.018166353526633847,-2050000000.0
New Zealand,NZL,2018,59071100322.3185,59145827447.227,39673000000.0,43793000000.0,-74727124.90850067,-0.0006321186510122751,-4120000000.0
New Zealand,NZL,2019,58214279832.002,57776826154.9864,39517000000.0,42363000000.0,437453677.0156021,0.003771441554016,-2846000000.0
New Zealand,NZL,2020,46221338362.6872,47463185028.6694,38377000000.0,37152000000.0,-1241846665.9822006,-0.013255622391272946,1225000000.0
New Zealand,NZL,2021,56662187013.7219,66621870137.2188,44777000000.0,49855000000.0,-9959683123.496902,-0.0807864646383509,-5078000000.0
New Zealand,NZL,2022,60000634041.6989,73427735097.3784,45102000000.0,54219000000.0,-13427101055.679504,-0.10063153092790891,-9117000000.0
New Zealand,NZL,2023,60519517736.8842,68115161811.9667,41399000000.0,49957000000.0,-7595644075.082497,-0.05904818282069837,-8558000000.0
Norway,NOR,2015,149733264441.459,123654686369.743,103915000000.0,76424000000.0,26078578071.71602,0.09539037106183779,27491000000.0
Norway,NOR,2016,133315000000.0,123078452380.952,88410000000.0,72110000000.0,10236547619.048004,0.039925152237657136,16300000000.0
Norway,NOR,2017,147570139028.813,130071126334.878,101054000000.0,81249000000.0,17499012693.934982,0.06302742018918722,19805000000.0
Norway,NOR,2018,168091730710.114,139774362127.267,121791000000.0,86600000000.0,28317368582.847015,0.0919794977156014,35191000000.0
Norway,NOR,2019,149767159090.909,140014431818.182,102799000000.0,85319000000.0,9752727272.72699,0.033655441127682165,17480000000.0
Norway,NOR,2020,118415966014.692,121847101513.408,84459000000.0,80447000000.0,-3431135498.7160034,-0.014280744577252659,4012000000.0
Norway,NOR,2021,216630966239.814,141881373690.338,160106000000.0,97764000000.0,74749592549.47598,0.20849935755081472,62342000000.0
Norway,NOR,2022,330944127589.495,161654260206.293,250518000000.0,105733000000.0,169289867383.202,0.3436671162094484,144785000000.0
Norway,NOR,2023,231391353739.351,156725623224.993,174090000000.0,95470000000.0,74665730514.358,0.1923794498719325,78620000000.0
Sweden,SWE,2015,219284872891.792,202930207436.24,140023000000.0,138398000000.0,16354665455.552002,0.038735389183270186,1625000000.0
Sweden,SWE,2016,220653333190.583,207504289792.387,139290000000.0,141021000000.0,13149043398.196014,0.030710753919518604,-1731000000.0
Sweden,SWE,2017,235309948216.298,225300076530.665,152920000000.0,154215000000.0,10009871685.632996,0.021731771233446204,-1295000000.0
Sweden,SWE,2018,253002514998.051,243893762279.478,165968000000.0,170605000000.0,9108752718.572998,0.0183312959567325,-4637000000.0
Sweden,SWE,2019,256724927068.404,235643869847.267,160576000000.0,158971000000.0,21081057221.136993,0.0428155832644033,1605000000.0
Sweden,SWE,2020,241282023561.051,218445221956.354,155496000000.0,149985000000.0,22836801604.69699,0.04967467520658921,5511000000.0
Sweden,SWE,2021,301387150076.682,273852355814.846,189524000000.0,187108000000.0,27534794261.836,0.04786666072101833,2416000000.0
Sweden,SWE,2022,312449425397.421,301399274779.953,197736000000.0,203086000000.0,11050150617.468018,0.018001423826873027,-5350000000.0
Sweden,SWE,2023,324257370254.826,300699764200.223,197469000000.0,193138000000.0,23557606054.602966,0.037694754977306975,4331000000.0
Switzerland,CHE,2015,443048390064.017,370031119305.329,289720000000.0,253027000000.0,73017270758.68805,0.08980335861043025,36693000000.0
Switzerland,CHE,2016,459636103721.801,390368282229.566,302900000000.0,270128000000.0,69267821492.23505,0.08149113420715715,32772000000.0
Switzerland,CHE,2017,461255257229.42,398164579098.364,299603000000.0,269834000000.0,63090678131.05597,0.07341077720597677,29769000000.0
Switzerland,CHE,2018,489600609479.659,413213693521.722,310749000000.0,279528000000.0,76386915957.93701,0.08460977601262058,31221000000.0
Switzerland,CHE,2019,483067666222.233,412350588412.87,313934000000.0,277830000000.0,70717077809.36298,0.07897658713489294,36104000000.0
Switzerland,CHE,2020,475588653393.81,428062581017.388,319318000000.0,291981000000.0,47526072376.422,0.05259337957678892,27337000000.0
Switzerland,CHE,2021,579841742088.153,480192967996.973,380194000000.0,324069000000.0,99648774091.17993,0.09400519921010667,56125000000.0
Switzerland,CHE,2022,630824772931.378,516665880141.281,400693000000.0,357115000000.0,114158892790.09705,0.0994856842488533,43578000000.0
Switzerland,CHE,2023,655909974512.794,554425714253.915,419982000000.0,365614000000.0,101484260258.8789,0.08384802761809654,54368000000.0
United Kingdom,GBR,2015,815304691846.949,859564412420.216,465850000000.0,630003000000.0,-44259720573.26697,-0.026425778862660853,-164153000000.0
United Kingdom,GBR,2016,777214710110.264,828192624115.954,410856000000.0,636731000000.0,-50977914005.68994,-0.03175388134766466,-225875000000.0
United Kingdom,GBR,2017,827907141571.723,863846532337.868,440997000000.0,641002000000.0,-35939390766.14502,-0.021243867426095304,-200005000000.0
United Kingdom,GBR,2018,906772479283.289,946466621329.184,486439000000.0,672450000000.0,-39694142045.89502,-0.021418791581062902,-186011000000.0
United Kingdom,GBR,2019,902036391533.849,941829862195.151,460026000000.0,696208000000.0,-39793470661.302,-0.02158153856377839,-236182000000.0
United Kingdom,GBR,2020,800128639354.783,785068374771.382,399529000000.0,638251000000.0,15060264583.401001,0.009500563304872818,-238722000000.0
United Kingdom,GBR,2021,917230303664.112,924270940181.382,472147000000.0,695115000000.0,-7040636517.269897,-0.0038233134736131743,-222968000000.0
United Kingdom,GBR,2022,1045296692285.1,1099672270617.25,546151000000.0,823592000000.0,-54375578332.150024,-0.025350286774580934,-277441000000.0
United Kingdom,GBR,2023,1077661990915.1,1113837991548.98,525016000000.0,791544000000.0,-36176000633.880005,-0.016507415433882143,-266528000000.0
United States,USA,2015,2270622000000.0,2794942000000.0,1502572000000.0,2315301000000.0,-524320000000.0,-0.10350673686089051,-812729000000.0
United States,USA,2016,2235558000000.0,2738830000000.0,1451011000000.0,2250154000000.0,-503272000000.0,-0.1011726467657931,-799143000000.0
United States,USA,2017,2388260000000.0,2931589000000.0,1546273000000.0,2408476000000.0,-543329000000.0,-0.10213241014923544,-862203000000.0
United States,USA,2018,2538089000000.0,3131166000000.0,1663982000000.0,2614221000000.0,-593077000000.0,-0.10461286359495207,-950239000000.0
United States,USA,2019,2539391000000.0,3116681000000.0,1643161000000.0,2567445000000.0,-577290000000.0,-0.10206553240482087,-924284000000.0
United States,USA,2020,2151139000000.0,2777341000000.0,1424935000000.0,2406932000000.0,-626202000000.0,-0.12705783527578482,-981997000000.0
United States,USA,2021,2555430000000.0,3415459000000.0,1754300000000.0,2935314000000.0,-860029000000.0,-0.1440370102341544,-1181014000000.0
United States,USA,2022,3017379000000.0,3976314000000.0,2065157000000.0,3371751000000.0,-958935000000.0,-0.1371142542287744,-1306594000000.0
United States,USA,2023,3052469000000.0,3849811000000.0,2018059000000.0,3168237000000.0,-797342000000.0,-0.1155186402174354,-1150178000000.0
